Mã,Tên,Cấp,Mã TP,Tỉnh / Thành Phố
3901,Xã Suối Tọ,Xã,14,Tỉnh Sơn La
3907,Xã Mường Cơi,Xã,14,Tỉnh Sơn La
3910,Xã Phù Yên,Xã,14,Tỉnh Sơn La
3922,Xã Gia Phù,Xã,14,Tỉnh Sơn La
3943,Xã Mường Bang,Xã,14,Tỉnh Sơn La
3958,Xã Tường Hạ,Xã,14,Tỉnh Sơn La
3961,Xã Kim Bon,Xã,14,Tỉnh Sơn La
3970,Xã Tân Phong,Xã,14,Tỉnh Sơn La
3979,Phường Mộc Sơn,Phường,14,Tỉnh Sơn La
3980,Phường Mộc Châu,Phường,14,Tỉnh Sơn La
3982,Phường Thảo Nguyên,Phường,14,Tỉnh Sơn La
3985,Xã Chiềng Sơn,Xã,14,Tỉnh Sơn La
3997,Xã Tân Yên,Xã,14,Tỉnh Sơn La
4000,Xã Đoàn Kết,Xã,14,Tỉnh Sơn La
4006,Xã Song Khủa,Xã,14,Tỉnh Sơn La
4018,Xã Tô Múa,Xã,14,Tỉnh Sơn La
4033,Phường Vân Sơn,Phường,14,Tỉnh Sơn La
4045,Xã Lóng Sập,Xã,14,Tỉnh Sơn La
4048,Xã Vân Hồ,Xã,14,Tỉnh Sơn La
4057,Xã Xuân Nha,Xã,14,Tỉnh Sơn La
4075,Xã Yên Châu,Xã,14,Tỉnh Sơn La
4078,Xã Chiềng Hặc,Xã,14,Tỉnh Sơn La
4087,Xã Yên Sơn,Xã,14,Tỉnh Sơn La
4096,Xã Lóng Phiêng,Xã,14,Tỉnh Sơn La
4099,Xã Phiêng Khoài,Xã,14,Tỉnh Sơn La
4105,Xã Mai Sơn,Xã,14,Tỉnh Sơn La
4108,Xã Chiềng Sung,Xã,14,Tỉnh Sơn La
4117,Xã Mường Chanh,Xã,14,Tỉnh Sơn La
4123,Xã Chiềng Mung,Xã,14,Tỉnh Sơn La
4132,Xã Chiềng Mai,Xã,14,Tỉnh Sơn La
4136,Xã Tà Hộc,Xã,14,Tỉnh Sơn La
4144,Xã Phiêng Cằm,Xã,14,Tỉnh Sơn La
4159,Xã Phiêng Pằn,Xã,14,Tỉnh Sơn La
4168,Xã Sông Mã,Xã,14,Tỉnh Sơn La
4171,Xã Bó Sinh,Xã,14,Tỉnh Sơn La
4183,Xã Mường Lầm,Xã,14,Tỉnh Sơn La
4186,Xã Nậm Ty,Xã,14,Tỉnh Sơn La
4195,Xã Chiềng Sơ,Xã,14,Tỉnh Sơn La
4204,Xã Chiềng Khoong,Xã,14,Tỉnh Sơn La
4210,Xã Huổi Một,Xã,14,Tỉnh Sơn La
4219,Xã Mường Hung,Xã,14,Tỉnh Sơn La
4222,Xã Chiềng Khương,Xã,14,Tỉnh Sơn La
4228,Xã Púng Bánh,Xã,14,Tỉnh Sơn La
4231,Xã Sốp Cộp,Xã,14,Tỉnh Sơn La
4240,Xã Mường Lèo,Xã,14,Tỉnh Sơn La
4246,Xã Mường Lạn,Xã,14,Tỉnh Sơn La
2647,Phường Lào Cai,Phường,15,Tỉnh Lào Cai
2671,Phường Cam Đường,Phường,15,Tỉnh Lào Cai
2680,Xã Hợp Thành,Xã,15,Tỉnh Lào Cai
2683,Xã Bát Xát,Xã,15,Tỉnh Lào Cai
2686,Xã A Mú Sung,Xã,15,Tỉnh Lào Cai
2695,Xã Trịnh Tường,Xã,15,Tỉnh Lào Cai
2701,Xã Y Tý,Xã,15,Tỉnh Lào Cai
2707,Xã Dền Sáng,Xã,15,Tỉnh Lào Cai
2725,Xã Bản Xèo,Xã,15,Tỉnh Lào Cai
2728,Xã Mường Hum,Xã,15,Tỉnh Lào Cai
2746,Xã Cốc San,Xã,15,Tỉnh Lào Cai
2752,Xã Pha Long ,Xã,15,Tỉnh Lào Cai
2761,Xã Mường Khương,Xã,15,Tỉnh Lào Cai
2782,Xã Cao Sơn,Xã,15,Tỉnh Lào Cai
2788,Xã Bản Lầu,Xã,15,Tỉnh Lào Cai
2809,Xã Si Ma Cai,Xã,15,Tỉnh Lào Cai
2824,Xã Sín Chéng,Xã,15,Tỉnh Lào Cai
2839,Xã Bắc Hà,Xã,15,Tỉnh Lào Cai
2842,Xã Tả Củ Tỷ,Xã,15,Tỉnh Lào Cai
2848,Xã Lùng Phình,Xã,15,Tỉnh Lào Cai
2869,Xã Bản Liền,Xã,15,Tỉnh Lào Cai
2890,Xã Bảo Nhai,Xã,15,Tỉnh Lào Cai
2896,Xã Cốc Lầu,Xã,15,Tỉnh Lào Cai
2902,Xã Phong Hải,Xã,15,Tỉnh Lào Cai
2905,Xã Bảo Thắng,Xã,15,Tỉnh Lào Cai
2908,Xã Tằng Loỏng,Xã,15,Tỉnh Lào Cai
2923,Xã Gia Phú,Xã,15,Tỉnh Lào Cai
2926,Xã Xuân Quang,Xã,15,Tỉnh Lào Cai
2947,Xã Bảo Yên,Xã,15,Tỉnh Lào Cai
2953,Xã Nghĩa Đô,Xã,15,Tỉnh Lào Cai
2962,Xã Xuân Hòa,Xã,15,Tỉnh Lào Cai
2968,Xã Thượng Hà,Xã,15,Tỉnh Lào Cai
2989,Xã Bảo Hà,Xã,15,Tỉnh Lào Cai
2998,Xã Phúc Khánh,Xã,15,Tỉnh Lào Cai
3004,Xã Ngũ Chỉ Sơn,Xã,15,Tỉnh Lào Cai
3006,Phường Sa Pa,Phường,15,Tỉnh Lào Cai
3013,Xã Tả Phìn,Xã,15,Tỉnh Lào Cai
3037,Xã Tả Van,Xã,15,Tỉnh Lào Cai
3043,Xã Mường Bo,Xã,15,Tỉnh Lào Cai
3046,Xã Bản Hồ,Xã,15,Tỉnh Lào Cai
3061,Xã Võ Lao,Xã,15,Tỉnh Lào Cai
3076,Xã Nậm Chày,Xã,15,Tỉnh Lào Cai
3082,Xã Văn Bàn,Xã,15,Tỉnh Lào Cai
3085,Xã Nậm Xé,Xã,15,Tỉnh Lào Cai
3091,Xã Chiềng Ken ,Xã,15,Tỉnh Lào Cai
3103,Xã Khánh Yên,Xã,15,Tỉnh Lào Cai
3106,Xã Dương Quỳ,Xã,15,Tỉnh Lào Cai
3121,Xã Minh Lương,Xã,15,Tỉnh Lào Cai
4252,Phường Yên Bái,Phường,15,Tỉnh Lào Cai
4273,Phường Nam Cường,Phường,15,Tỉnh Lào Cai
4279,Phường Văn Phú,Phường,15,Tỉnh Lào Cai
4288,Phường Nghĩa Lộ,Phường,15,Tỉnh Lào Cai
4303,Xã Lục Yên,Xã,15,Tỉnh Lào Cai
4309,Xã Lâm Thượng,Xã,15,Tỉnh Lào Cai
4336,Xã Tân Lĩnh,Xã,15,Tỉnh Lào Cai
4342,Xã Khánh Hòa,Xã,15,Tỉnh Lào Cai
4345,Xã Mường Lai,Xã,15,Tỉnh Lào Cai
4363,Xã Phúc Lợi,Xã,15,Tỉnh Lào Cai
4375,Xã Mậu A,Xã,15,Tỉnh Lào Cai
4381,Xã Lâm Giang,Xã,15,Tỉnh Lào Cai
4387,Xã Châu Quế,Xã,15,Tỉnh Lào Cai
4399,Xã Đông Cuông,Xã,15,Tỉnh Lào Cai
4402,Xã Phong Dụ Hạ,Xã,15,Tỉnh Lào Cai
4423,Xã Phong Dụ Thượng,Xã,15,Tỉnh Lào Cai
4429,Xã Tân Hợp,Xã,15,Tỉnh Lào Cai
4441,Xã Xuân Ái,Xã,15,Tỉnh Lào Cai
4450,Xã Mỏ Vàng,Xã,15,Tỉnh Lào Cai
4456,Xã Mù Cang Chải,Xã,15,Tỉnh Lào Cai
4462,Xã Nậm Có,Xã,15,Tỉnh Lào Cai
4465,Xã Khao Mang,Xã,15,Tỉnh Lào Cai
4474,Xã Lao Chải,Xã,15,Tỉnh Lào Cai
4489,Xã Chế Tạo,Xã,15,Tỉnh Lào Cai
4492,Xã Púng Luông,Xã,15,Tỉnh Lào Cai
4498,Xã Trấn Yên,Xã,15,Tỉnh Lào Cai
4531,Xã Quy Mông,Xã,15,Tỉnh Lào Cai
4537,Xã Lương Thịnh,Xã,15,Tỉnh Lào Cai
4543,Phường Âu Lâu,Phường,15,Tỉnh Lào Cai
4564,Xã Việt Hồng,Xã,15,Tỉnh Lào Cai
4576,Xã Hưng Khánh,Xã,15,Tỉnh Lào Cai
4585,Xã Hạnh Phúc,Xã,15,Tỉnh Lào Cai
4603,Xã Tà Xi Láng,Xã,15,Tỉnh Lào Cai
4606,Xã Trạm Tấu,Xã,15,Tỉnh Lào Cai
4609,Xã Phình Hồ,Xã,15,Tỉnh Lào Cai
4630,Xã Tú Lệ,Xã,15,Tỉnh Lào Cai
4636,Xã Gia Hội,Xã,15,Tỉnh Lào Cai
4651,Xã Sơn Lương,Xã,15,Tỉnh Lào Cai
4660,Xã Liên Sơn,Xã,15,Tỉnh Lào Cai
4663,Phường Trung Tâm,Phường,15,Tỉnh Lào Cai
4672,Xã Văn Chấn,Xã,15,Tỉnh Lào Cai
4681,Phường Cầu Thia,Phường,15,Tỉnh Lào Cai
4693,Xã Cát Thịnh,Xã,15,Tỉnh Lào Cai
4699,Xã Chấn Thịnh,Xã,15,Tỉnh Lào Cai
4705,Xã Thượng Bằng La,Xã,15,Tỉnh Lào Cai
4711,Xã Nghĩa Tâm,Xã,15,Tỉnh Lào Cai
4714,Xã Yên Bình,Xã,15,Tỉnh Lào Cai
4717,Xã Thác Bà,Xã,15,Tỉnh Lào Cai
4726,Xã Cảm Nhân,Xã,15,Tỉnh Lào Cai
4744,Xã Yên Thành,Xã,15,Tỉnh Lào Cai
4750,Xã Bảo Ái ,Xã,15,Tỉnh Lào Cai
1840,Phường Đức Xuân,Phường,19,Tỉnh Thái Nguyên
1843,Phường Bắc Kạn,Phường,19,Tỉnh Thái Nguyên
1849,Xã Phong Quang,Xã,19,Tỉnh Thái Nguyên
1864,Xã Bằng Thành,Xã,19,Tỉnh Thái Nguyên
1879,Xã Cao Minh,Xã,19,Tỉnh Thái Nguyên
1882,Xã Nghiên Loan,Xã,19,Tỉnh Thái Nguyên
1894,Xã Phúc Lộc,Xã,19,Tỉnh Thái Nguyên
1906,Xã Ba Bể,Xã,19,Tỉnh Thái Nguyên
1912,Xã Chợ Rã,Xã,19,Tỉnh Thái Nguyên
1921,Xã Thượng Minh,Xã,19,Tỉnh Thái Nguyên
1933,Xã Đồng Phúc,Xã,19,Tỉnh Thái Nguyên
1936,Xã Nà Phặc,Xã,19,Tỉnh Thái Nguyên
1942,Xã Bằng Vân,Xã,19,Tỉnh Thái Nguyên
1954,Xã Ngân Sơn,Xã,19,Tỉnh Thái Nguyên
1957,Xã Thượng Quan,Xã,19,Tỉnh Thái Nguyên
1960,Xã Hiệp Lực,Xã,19,Tỉnh Thái Nguyên
1969,Xã Phủ Thông,Xã,19,Tỉnh Thái Nguyên
1981,Xã Vĩnh Thông,Xã,19,Tỉnh Thái Nguyên
2008,Xã Cẩm Giàng,Xã,19,Tỉnh Thái Nguyên
2014,Xã Bạch Thông,Xã,19,Tỉnh Thái Nguyên
2020,Xã Chợ Đồn,Xã,19,Tỉnh Thái Nguyên
2026,Xã Nam Cường,Xã,19,Tỉnh Thái Nguyên
2038,Xã Quảng Bạch,Xã,19,Tỉnh Thái Nguyên
2044,Xã Yên Thịnh,Xã,19,Tỉnh Thái Nguyên
2071,Xã Nghĩa Tá,Xã,19,Tỉnh Thái Nguyên
2083,Xã Yên Phong,Xã,19,Tỉnh Thái Nguyên
2086,Xã Chợ Mới,Xã,19,Tỉnh Thái Nguyên
2101,Xã Thanh Mai,Xã,19,Tỉnh Thái Nguyên
2104,Xã Tân Kỳ,Xã,19,Tỉnh Thái Nguyên
2107,Xã Thanh Thịnh,Xã,19,Tỉnh Thái Nguyên
2116,Xã Yên Bình,Xã,19,Tỉnh Thái Nguyên
2143,Xã Văn Lang,Xã,19,Tỉnh Thái Nguyên
2152,Xã Cường Lợi,Xã,19,Tỉnh Thái Nguyên
2155,Xã Na Rì,Xã,19,Tỉnh Thái Nguyên
2176,Xã Trần Phú,Xã,19,Tỉnh Thái Nguyên
2185,Xã Côn Minh,Xã,19,Tỉnh Thái Nguyên
2191,Xã Xuân Dương,Xã,19,Tỉnh Thái Nguyên
5443,Phường Phan Đình Phùng,Phường,19,Tỉnh Thái Nguyên
5455,Phường Quyết Thắng,Phường,19,Tỉnh Thái Nguyên
5467,Phường Gia Sàng,Phường,19,Tỉnh Thái Nguyên
5482,Phường Quan Triều,Phường,19,Tỉnh Thái Nguyên
5488,Xã Đại Phúc,Xã,19,Tỉnh Thái Nguyên
5500,Phường Tích Lương,Phường,19,Tỉnh Thái Nguyên
5503,Xã Tân Cương,Xã,19,Tỉnh Thái Nguyên
5518,Phường Sông Công,Phường,19,Tỉnh Thái Nguyên
5528,Phường Bách Quang,Phường,19,Tỉnh Thái Nguyên
5533,Phường Bá Xuyên,Phường,19,Tỉnh Thái Nguyên
5542,Xã Lam Vỹ,Xã,19,Tỉnh Thái Nguyên
5551,Xã Kim Phượng,Xã,19,Tỉnh Thái Nguyên
5563,Xã Phượng Tiến,Xã,19,Tỉnh Thái Nguyên
5569,Xã Định Hóa,Xã,19,Tỉnh Thái Nguyên
5581,Xã Trung Hội,Xã,19,Tỉnh Thái Nguyên
5587,Xã Bình Yên,Xã,19,Tỉnh Thái Nguyên
5602,Xã Phú Đình,Xã,19,Tỉnh Thái Nguyên
5605,Xã Bình Thành,Xã,19,Tỉnh Thái Nguyên
5611,Xã Phú Lương,Xã,19,Tỉnh Thái Nguyên
5620,Xã Yên Trạch,Xã,19,Tỉnh Thái Nguyên
5632,Xã Hợp Thành,Xã,19,Tỉnh Thái Nguyên
5641,Xã Vô Tranh,Xã,19,Tỉnh Thái Nguyên
5662,Xã Trại Cau,Xã,19,Tỉnh Thái Nguyên
5665,Xã Văn Lăng,Xã,19,Tỉnh Thái Nguyên
5674,Xã Quang Sơn,Xã,19,Tỉnh Thái Nguyên
5680,Xã Văn Hán,Xã,19,Tỉnh Thái Nguyên
5692,Xã Đồng Hỷ,Xã,19,Tỉnh Thái Nguyên
5707,Xã Nam Hòa,Xã,19,Tỉnh Thái Nguyên
5710,Phường Linh Sơn,Phường,19,Tỉnh Thái Nguyên
5716,Xã Võ Nhai,Xã,19,Tỉnh Thái Nguyên
5719,Xã Sảng Mộc,Xã,19,Tỉnh Thái Nguyên
5722,Xã Nghinh Tường,Xã,19,Tỉnh Thái Nguyên
5725,Xã Thần Sa,Xã,19,Tỉnh Thái Nguyên
5740,Xã La Hiên,Xã,19,Tỉnh Thái Nguyên
5746,Xã Tràng Xá,Xã,19,Tỉnh Thái Nguyên
5755,Xã Dân Tiến,Xã,19,Tỉnh Thái Nguyên
5773,Xã Phú Xuyên,Xã,19,Tỉnh Thái Nguyên
5776,Xã Đức Lương,Xã,19,Tỉnh Thái Nguyên
5788,Xã Phú Lạc,Xã,19,Tỉnh Thái Nguyên
5800,Xã Phú Thịnh,Xã,19,Tỉnh Thái Nguyên
5809,Xã An Khánh,Xã,19,Tỉnh Thái Nguyên
5818,Xã La Bằng,Xã,19,Tỉnh Thái Nguyên
5830,Xã Đại Từ,Xã,19,Tỉnh Thái Nguyên
5845,Xã Vạn Phú,Xã,19,Tỉnh Thái Nguyên
5851,Xã Quân Chu,Xã,19,Tỉnh Thái Nguyên
5857,Phường Phúc Thuận,Phường,19,Tỉnh Thái Nguyên
5860,Phường Phổ Yên,Phường,19,Tỉnh Thái Nguyên
5881,Xã Thành Công,Xã,19,Tỉnh Thái Nguyên
5890,Phường Vạn Xuân,Phường,19,Tỉnh Thái Nguyên
5899,Phường Trung Thành,Phường,19,Tỉnh Thái Nguyên
5908,Xã Phú Bình,Xã,19,Tỉnh Thái Nguyên
5917,Xã Tân Khánh,Xã,19,Tỉnh Thái Nguyên
5923,Xã Tân Thành,Xã,19,Tỉnh Thái Nguyên
5941,Xã Điềm Thụy,Xã,19,Tỉnh Thái Nguyên
5953,Xã Kha Sơn,Xã,19,Tỉnh Thái Nguyên
5977,Phường Đông Kinh,Phường,20,Tỉnh Lạng Sơn
5983,Phường Lương Văn Tri,Phường,20,Tỉnh Lạng Sơn
5986,Phường Tam Thanh,Phường,20,Tỉnh Lạng Sơn
6001,Xã Đoàn Kết,Xã,20,Tỉnh Lạng Sơn
6004,Xã Quốc Khánh,Xã,20,Tỉnh Lạng Sơn
6019,Xã Tân Tiến,Xã,20,Tỉnh Lạng Sơn
6037,Xã Kháng Chiến,Xã,20,Tỉnh Lạng Sơn
6040,Xã Thất Khê,Xã,20,Tỉnh Lạng Sơn
6046,Xã Tràng Định,Xã,20,Tỉnh Lạng Sơn
6058,Xã Quốc Việt,Xã,20,Tỉnh Lạng Sơn
6073,Xã Hoa Thám,Xã,20,Tỉnh Lạng Sơn
6076,Xã Quý Hòa,Xã,20,Tỉnh Lạng Sơn
6079,Xã Hồng Phong,Xã,20,Tỉnh Lạng Sơn
6085,Xã Thiện Hòa,Xã,20,Tỉnh Lạng Sơn
6091,Xã Thiện Thuật,Xã,20,Tỉnh Lạng Sơn
6103,Xã Thiện Long,Xã,20,Tỉnh Lạng Sơn
6112,Xã Bình Gia,Xã,20,Tỉnh Lạng Sơn
6115,Xã Tân Văn,Xã,20,Tỉnh Lạng Sơn
6124,Xã Na Sầm,Xã,20,Tỉnh Lạng Sơn
6148,Xã Thụy Hùng,Xã,20,Tỉnh Lạng Sơn
6151,Xã Hội Hoan,Xã,20,Tỉnh Lạng Sơn
6154,Xã Văn Lãng,Xã,20,Tỉnh Lạng Sơn
6172,Xã Hoàng Văn Thụ,Xã,20,Tỉnh Lạng Sơn
6184,Xã Đồng Đăng,Xã,20,Tỉnh Lạng Sơn
6187,Phường Kỳ Lừa,Phường,20,Tỉnh Lạng Sơn
6196,Xã Ba Sơn,Xã,20,Tỉnh Lạng Sơn
6211,Xã Cao Lộc,Xã,20,Tỉnh Lạng Sơn
6220,Xã Công Sơn,Xã,20,Tỉnh Lạng Sơn
6253,Xã Văn Quan,Xã,20,Tỉnh Lạng Sơn
6280,Xã Điềm He,Xã,20,Tỉnh Lạng Sơn
6286,Xã Khánh Khê,Xã,20,Tỉnh Lạng Sơn
6298,Xã Yên Phúc,Xã,20,Tỉnh Lạng Sơn
6313,Xã Tri Lễ,Xã,20,Tỉnh Lạng Sơn
6316,Xã Tân Đoàn,Xã,20,Tỉnh Lạng Sơn
6325,xã Bắc Sơn,Xã,20,Tỉnh Lạng Sơn
6337,Xã Tân Tri,Xã,20,Tỉnh Lạng Sơn
6349,Xã Hưng Vũ,Xã,20,Tỉnh Lạng Sơn
6364,Xã Vũ Lễ,Xã,20,Tỉnh Lạng Sơn
6367,Xã Vũ Lăng,Xã,20,Tỉnh Lạng Sơn
6376,Xã Nhất Hòa,Xã,20,Tỉnh Lạng Sơn
6385,Xã Hữu Lũng,Xã,20,Tỉnh Lạng Sơn
6391,Xã Yên Bình,Xã,20,Tỉnh Lạng Sơn
6400,Xã Hữu Liên,Xã,20,Tỉnh Lạng Sơn
6415,Xã Vân Nham,Xã,20,Tỉnh Lạng Sơn
6427,Xã Cai Kinh,Xã,20,Tỉnh Lạng Sơn
6436,Xã Thiện Tân,Xã,20,Tỉnh Lạng Sơn
6445,Xã Tân Thành,Xã,20,Tỉnh Lạng Sơn
6457,Xã Tuấn Sơn,Xã,20,Tỉnh Lạng Sơn
6463,Xã Chi Lăng,Xã,20,Tỉnh Lạng Sơn
6475,Xã Bằng Mạc,Xã,20,Tỉnh Lạng Sơn
6481,Xã Chiến Thắng,Xã,20,Tỉnh Lạng Sơn
6496,Xã Nhân Lý,Xã,20,Tỉnh Lạng Sơn
6505,Xã Vạn Linh,Xã,20,Tỉnh Lạng Sơn
6517,Xã Quan Sơn,Xã,20,Tỉnh Lạng Sơn
6526,Xã Na Dương,Xã,20,Tỉnh Lạng Sơn
6529,Xã Lộc Bình,Xã,20,Tỉnh Lạng Sơn
6541,Xã Mẫu Sơn,Xã,20,Tỉnh Lạng Sơn
6565,Xã Khuất Xá,Xã,20,Tỉnh Lạng Sơn
6577,Xã Thống Nhất,Xã,20,Tỉnh Lạng Sơn
6601,Xã Lợi Bác,Xã,20,Tỉnh Lạng Sơn
6607,Xã Xuân Dương,Xã,20,Tỉnh Lạng Sơn
6613,Xã Đình Lập,Xã,20,Tỉnh Lạng Sơn
6616,Xã Thái Bình,Xã,20,Tỉnh Lạng Sơn
6625,Xã Kiên Mộc,Xã,20,Tỉnh Lạng Sơn
6637,Xã Châu Sơn,Xã,20,Tỉnh Lạng Sơn
6652,Phường Hà Tu,Phường,22,Tỉnh Quảng Ninh
6658,Phường Cao Xanh,Phường,22,Tỉnh Quảng Ninh
6661,Phường Việt Hưng,Phường,22,Tỉnh Quảng Ninh
6673,Phường Bãi Cháy,Phường,22,Tỉnh Quảng Ninh
6676,Phường Hà Lầm,Phường,22,Tỉnh Quảng Ninh
6685,Phường Hồng Gai,Phường,22,Tỉnh Quảng Ninh
6688,Phường Hạ Long,Phường,22,Tỉnh Quảng Ninh
6706,Phường Tuần Châu,Phường,22,Tỉnh Quảng Ninh
6709,Phường Móng Cái 2,Phường,22,Tỉnh Quảng Ninh
6712,Phường Móng Cái 1,Phường,22,Tỉnh Quảng Ninh
6724,Xã Hải Sơn,Xã,22,Tỉnh Quảng Ninh
6733,Xã Hải Ninh,Xã,22,Tỉnh Quảng Ninh
6736,Phường Móng Cái 3,Phường,22,Tỉnh Quảng Ninh
6757,Xã Vĩnh Thực,Xã,22,Tỉnh Quảng Ninh
6760,Phường Mông Dương,Phường,22,Tỉnh Quảng Ninh
6778,Phường Quang Hanh,Phường,22,Tỉnh Quảng Ninh
6781,Phường Cửa Ông,Phường,22,Tỉnh Quảng Ninh
6793,Phường Cẩm Phả,Phường,22,Tỉnh Quảng Ninh
6799,Xã Hải Hòa,Xã,22,Tỉnh Quảng Ninh
6811,Phường Uông Bí,Phường,22,Tỉnh Quảng Ninh
6820,Phường Vàng Danh,Phường,22,Tỉnh Quảng Ninh
6832,Phường Yên Tử,Phường,22,Tỉnh Quảng Ninh
6838,Xã Bình Liêu,Xã,22,Tỉnh Quảng Ninh
6841,Xã Hoành Mô,Xã,22,Tỉnh Quảng Ninh
6856,Xã Lục Hồn,Xã,22,Tỉnh Quảng Ninh
6862,Xã Tiên Yên,Xã,22,Tỉnh Quảng Ninh
6874,Xã Điền Xá,Xã,22,Tỉnh Quảng Ninh
6877,Xã Đông Ngũ,Xã,22,Tỉnh Quảng Ninh
6886,Xã Hải Lạng,Xã,22,Tỉnh Quảng Ninh
6895,Xã Đầm Hà,Xã,22,Tỉnh Quảng Ninh
6913,Xã Quảng Tân,Xã,22,Tỉnh Quảng Ninh
6922,Xã Quảng Hà,Xã,22,Tỉnh Quảng Ninh
6931,Xã Quảng Đức,Xã,22,Tỉnh Quảng Ninh
6946,Xã Đường Hoa,Xã,22,Tỉnh Quảng Ninh
6967,Xã Cái Chiên,Xã,22,Tỉnh Quảng Ninh
6970,Xã Ba Chẽ,Xã,22,Tỉnh Quảng Ninh
6979,Xã Kỳ Thượng,Xã,22,Tỉnh Quảng Ninh
6985,Xã Lương Minh,Xã,22,Tỉnh Quảng Ninh
6994,Đặc khu Vân Đồn,Đặc khu,22,Tỉnh Quảng Ninh
7030,Phường Hoành Bồ,Phường,22,Tỉnh Quảng Ninh
7054,Xã Quảng La,Xã,22,Tỉnh Quảng Ninh
7060,Xã Thống Nhất,Xã,22,Tỉnh Quảng Ninh
7069,Phường Mạo Khê,Phường,22,Tỉnh Quảng Ninh
7081,Phường Bình Khê,Phường,22,Tỉnh Quảng Ninh
7090,Phường An Sinh,Phường,22,Tỉnh Quảng Ninh
7093,Phường Đông Triều,Phường,22,Tỉnh Quảng Ninh
7114,Phường Hoàng Quế,Phường,22,Tỉnh Quảng Ninh
7132,Phường Quảng Yên,Phường,22,Tỉnh Quảng Ninh
7135,Phường Đông Mai,Phường,22,Tỉnh Quảng Ninh
7147,Phường Hiệp Hòa,Phường,22,Tỉnh Quảng Ninh
7168,Phường Hà An,Phường,22,Tỉnh Quảng Ninh
7180,Phường Liên Hòa,Phường,22,Tỉnh Quảng Ninh
7183,Phường Phong Cốc,Phường,22,Tỉnh Quảng Ninh
7192,Đặc khu Cô Tô,Đặc khu,22,Tỉnh Quảng Ninh
7210,Phường Bắc Giang,Phường,24,Tỉnh Bắc Ninh
7228,Phường Đa Mai,Phường,24,Tỉnh Bắc Ninh
7246,Xã Xuân Lương,Xã,24,Tỉnh Bắc Ninh
7264,Xã Tam Tiến,Xã,24,Tỉnh Bắc Ninh
7282,Xã Đồng Kỳ,Xã,24,Tỉnh Bắc Ninh
7288,Xã Yên Thế,Xã,24,Tỉnh Bắc Ninh
7294,Xã Bố Hạ,Xã,24,Tỉnh Bắc Ninh
7306,Xã Nhã Nam,Xã,24,Tỉnh Bắc Ninh
7330,Xã Phúc Hòa,Xã,24,Tỉnh Bắc Ninh
7333,Xã Quang Trung,Xã,24,Tỉnh Bắc Ninh
7339,Xã Tân Yên,Xã,24,Tỉnh Bắc Ninh
7351,Xã Ngọc Thiện,Xã,24,Tỉnh Bắc Ninh
7375,Xã Lạng Giang,Xã,24,Tỉnh Bắc Ninh
7381,Xã Tiên Lục,Xã,24,Tỉnh Bắc Ninh
7399,Xã Kép,Xã,24,Tỉnh Bắc Ninh
7420,Xã Mỹ Thái,Xã,24,Tỉnh Bắc Ninh
7432,Xã Tân Dĩnh,Xã,24,Tỉnh Bắc Ninh
7444,Xã Lục Nam,Xã,24,Tỉnh Bắc Ninh
7450,Xã Đông Phú,Xã,24,Tỉnh Bắc Ninh
7462,Xã Bảo Đài,Xã,24,Tỉnh Bắc Ninh
7486,Xã Nghĩa Phương,Xã,24,Tỉnh Bắc Ninh
7489,Xã Trường Sơn,Xã,24,Tỉnh Bắc Ninh
7492,Xã Lục Sơn,Xã,24,Tỉnh Bắc Ninh
7498,Xã Bắc Lũng,Xã,24,Tỉnh Bắc Ninh
7519,Xã Cẩm Lý,Xã,24,Tỉnh Bắc Ninh
7525,Phường Chũ,Phường,24,Tỉnh Bắc Ninh
7531,Xã Tân Sơn,Xã,24,Tỉnh Bắc Ninh
7534,Xã Sa Lý,Xã,24,Tỉnh Bắc Ninh
7537,Xã Biên Sơn,Xã,24,Tỉnh Bắc Ninh
7543,Xã Sơn Hải,Xã,24,Tỉnh Bắc Ninh
7552,Xã Kiên Lao,Xã,24,Tỉnh Bắc Ninh
7573,Xã Biển Động,Xã,24,Tỉnh Bắc Ninh
7582,Xã Lục Ngạn,Xã,24,Tỉnh Bắc Ninh
7594,Xã Đèo Gia,Xã,24,Tỉnh Bắc Ninh
7603,Xã Nam Dương,Xã,24,Tỉnh Bắc Ninh
7612,Phường Phượng Sơn,Phường,24,Tỉnh Bắc Ninh
7615,Xã Sơn Động,Xã,24,Tỉnh Bắc Ninh
7616,Xã Tây Yên Tử,Xã,24,Tỉnh Bắc Ninh
7621,Xã Vân Sơn,Xã,24,Tỉnh Bắc Ninh
7627,Xã Đại Sơn,Xã,24,Tỉnh Bắc Ninh
7642,Xã Yên Định,Xã,24,Tỉnh Bắc Ninh
7654,Xã An Lạc,Xã,24,Tỉnh Bắc Ninh
7663,Xã Tuấn Đạo,Xã,24,Tỉnh Bắc Ninh
7672,Xã Dương Hưu,Xã,24,Tỉnh Bắc Ninh
7681,Phường Yên Dũng,Phường,24,Tỉnh Bắc Ninh
7682,Phường Tân An,Phường,24,Tỉnh Bắc Ninh
7696,Phường Tiền Phong,Phường,24,Tỉnh Bắc Ninh
7699,Phường Tân Tiến,Phường,24,Tỉnh Bắc Ninh
7735,Xã Đồng Việt,Xã,24,Tỉnh Bắc Ninh
7738,Phường Cảnh Thụy,Phường,24,Tỉnh Bắc Ninh
7774,Phường Tự Lạn,Phường,24,Tỉnh Bắc Ninh
